job_id,salary_in_usd
job_1063,48000
job_1064,175950
job_1065,130050
job_1066,205600
job_1067,105700
job_1068,236600
job_1069,89200
job_1070,84000
job_1071,54000
job_1072,80000
job_1073,200000
job_1074,73742
job_1075,165000
job_1076,33246
job_1077,185900
job_1078,129300
job_1079,169000
job_1080,110600
job_1081,225000
job_1082,184100
job_1083,185900
job_1084,129300
job_1085,225000
job_1086,156400
job_1087,185900
job_1088,129300
job_1089,108000
job_1090,155000
job_1091,38000
job_1092,85000
job_1093,65000
job_1094,155000
job_1095,38000
job_1096,110820
job_1097,92350
job_1098,153600
job_1099,106800
job_1100,185000
job_1101,50000
job_1102,185900
job_1103,129300
job_1104,155000
job_1105,38000
job_1106,168000
job_1107,130000
job_1108,123400
job_1109,88100
job_1110,120000
job_1111,55000
job_1112,185900
job_1113,129300
job_1114,191200
job_1115,130000
job_1116,169000
job_1117,110600
job_1118,150000
job_1119,120000
job_1120,139000
job_1121,122000
job_1122,185900
job_1123,129300
job_1124,139600
job_1125,85700
job_1126,185000
job_1127,50000
job_1128,185900
job_1129,129300
job_1130,225000
job_1131,156400
job_1132,200000
job_1133,175000
job_1134,185900
job_1135,129300
job_1136,148500
job_1137,98200
job_1138,115000
job_1139,95000
job_1140,225000
job_1141,66000
job_1142,185000
job_1143,50000
job_1144,47280
job_1145,37824
job_1146,134000
job_1147,98000
job_1148,105000
job_1149,62000
job_1150,57000
job_1151,161311
job_1152,144200
job_1153,115360
job_1154,83171
job_1155,38154
job_1156,73546
job_1157,42026
job_1158,170000
job_1159,150000
job_1160,180000
job_1161,160000
job_1162,108000
job_1163,200000
job_1164,150000
job_1165,125976
job_1166,188700
job_1167,160395
job_1168,115934
job_1169,81666
job_1170,300000
job_1171,225000
job_1172,198440
job_1173,144000
job_1174,191475
job_1175,141525
job_1176,50432
job_1177,36773
job_1178,75648
job_1179,156868
job_1180,200000
job_1181,198440
job_1182,144000
job_1183,69344
job_1184,90000
job_1185,126080
job_1186,84053
job_1187,200000
job_1188,180000
job_1189,108000
job_1190,85000
job_1191,210000
job_1192,180000
job_1193,165000
job_1194,132000
job_1195,130000
job_1196,110000
job_1197,45050
job_1198,135000
job_1199,178800
job_1200,132100
job_1201,20000
job_1202,140000
job_1203,110000
job_1204,160000
job_1205,85000
job_1206,250000
job_1207,63000
job_1208,187200
job_1209,116100
job_1210,200000
job_1211,145000
job_1212,229998
job_1213,154545
job_1214,215000
job_1215,159000
job_1216,229998
job_1217,154545
job_1218,50000
job_1219,183000
job_1220,99750
job_1221,68400
job_1222,236900
job_1223,159200
job_1224,243225
job_1225,179775
job_1226,175000
job_1227,150000
job_1228,210000
job_1229,180000
job_1230,148000
job_1231,128000
job_1232,190000
job_1233,135000
job_1234,130000
job_1235,110000
job_1236,191475
job_1237,141525
job_1238,160000
job_1239,85000
job_1240,218000
job_1241,145300
job_1242,195400
job_1243,131300
job_1244,105000
job_1245,191475
job_1246,141525
job_1247,207000
job_1248,153000
job_1249,191475
job_1250,141525
job_1251,110000
job_1252,99000
job_1253,191475
job_1254,141525
job_1255,191475
job_1256,141525
job_1257,191475
job_1258,141525
job_1259,200000
job_1260,135000
job_1261,207000
job_1262,153000
job_1263,191475
job_1264,141525
job_1265,191475
job_1266,141525
job_1267,191475
job_1268,141525
job_1269,195700
job_1270,130500
job_1271,130000
job_1272,84000
job_1273,100000
job_1274,60000
job_1275,80036
job_1276,67723
job_1277,141300
job_1278,102100
job_1279,50432
job_1280,36773
job_1281,150000
job_1282,102200
job_1283,22892
job_1284,144000
job_1285,113000
job_1286,31520
job_1287,195400
job_1288,131300
job_1289,195400
job_1290,131300
job_1291,195400
job_1292,131300
job_1293,190000
job_1294,135000
job_1295,135000
job_1296,80000
job_1297,160000
job_1298,85000
job_1299,178800
job_1300,132100
job_1301,60000
job_1302,63040
job_1303,50000
job_1304,140000
job_1305,105000
job_1306,80036
job_1307,67723
job_1308,190000
job_1309,140000
job_1310,100000
job_1311,60000
job_1312,180000
job_1313,165000
job_1314,108000
job_1315,190000
job_1316,135000
job_1317,179400
job_1318,154000
job_1319,193900
job_1320,129300
job_1321,222640
job_1322,182160
job_1323,150000
job_1324,100000
job_1325,122500
job_1326,100000
job_1327,297500
job_1328,260000
job_1329,193000
job_1330,93000
job_1331,73000
job_1332,100000
job_1333,60000
job_1334,136994
job_1335,101570
job_1336,250000
job_1337,63000
job_1338,134000
job_1339,98000
job_1340,191475
job_1341,141525
job_1342,57786
job_1343,136000
job_1344,112000
job_1345,172000
job_1346,140000
job_1347,215000
job_1348,164000
job_1349,300000
job_1350,130000
job_1351,250000
job_1352,63000
job_1353,180000
job_1354,150000
job_1355,250000
job_1356,63000
job_1357,191475
job_1358,141525
job_1359,97500
job_1360,212800
job_1361,142800
job_1362,73546
job_1363,50000
job_1364,151800
job_1365,130240
job_1366,165000
job_1367,140250
job_1368,135000
job_1369,115000
job_1370,179400
job_1371,154000
job_1372,191475
job_1373,141525
